position_id,source,name,keyword,variants,alive_variants,max_local_quantity
brands:00479,brands,Haku,haku,haku,haku:23,23
brands:00481,brands,Clique,clique,clique,clique:22,22
brands:00484,brands,Oso Negro,oso-negro,oso-negro,oso-negro:1,1
brands:00485,brands,Villa Lobos,villa-lobos,villa-lobos,villa-lobos:6,6
brands:00487,brands,Bols,bols,bols,bols:8,8
brands:00490,brands,Ketel One,ketel-one,ketel-one|ketel,ketel-one:1|ketel:2,2
brands:00491,brands,Ursus,ursus,ursus,ursus:39,39
brands:00492,brands,Vox,vox,vox,vox:624,624
brands:00498,brands,Belvedere,belvedere,belvedere,belvedere:35,35
brands:00500,brands,Chopin,chopin,chopin,chopin:10,10
brands:00502,brands,Cracovia,cracovia,cracovia,cracovia:10,10
brands:00503,brands,Krupnik,krupnik,krupnik,krupnik:2,2
brands:00504,brands,Luksusowa,luksusowa,luksusowa,luksusowa:4,4
brands:00505,brands,Łańcut,lancut,lancut,lancut:6,6
brands:00506,brands,Polonaise,polonaise,polonaise,polonaise:2,2
brands:00508,brands,Sobieski,sobieski,sobieski,sobieski:5,5
brands:00510,brands,Starka,starka,starka,starka:3,3
brands:00515,brands,Żubrówka,zubrowka,zubrowka,zubrowka:1,1
brands:00518,brands,Kauffman (Кауфман),kauffman,kauffman,kauffman:10,10
brands:00529,brands,Stolichnaya (Столичная),stolichnaya,stolichnaya|stoli,stoli:1,1
brands:00532,brands,Double Cross,double-cross,double-cross,double-cross:15,15
brands:00533,brands,V44,v44,v44,v44:2,2
brands:00534,brands,Absolut,absolut,absolut,absolut:131,131
brands:00535,brands,Explorer,explorer,explorer,explorer:392,392
brands:00536,brands,Karlsson's,karlssons,karlssons,karlssons:1,1
brands:00537,brands,Level,level,level,level:2434,2434
brands:00541,brands,Svedka,svedka,svedka,svedka:1,1
brands:00547,brands,Black Cow,black-cow,black-cow,black-cow:1,1
brands:00548,brands,Chase,chase,chase,chase:817,817
brands:00549,brands,Glen's,glens,glens,glens:6,6
brands:00551,brands,Smirnoff,smirnoff,smirnoff|smirnoff-vodka|smirnov-vodka,smirnoff:5,5
brands:00554,brands,Bowman's,bowmans,bowmans,bowmans:5,5
brands:00556,brands,Cirrus,cirrus,cirrus,cirrus:13,13
brands:00558,brands,Firefly,firefly,firefly,firefly:129,129
brands:00560,brands,Grand Teton,grand-teton,grand-teton,grand-teton:22,22
brands:00563,brands,Lotus,lotus,lotus,lotus:414,414
brands:00564,brands,New Amsterdam,new-amsterdam,new-amsterdam,new-amsterdam:39,39
brands:00565,brands,Nikolai,nikolai,nikolai,nikolai:21,21
brands:00566,brands,Orloff,orloff,orloff,orloff:7,7
brands:00567,brands,Pinnacle,pinnacle,pinnacle,pinnacle:94,94
brands:00568,brands,Popov,popov,popov,popov:2,2
brands:00569,brands,Rain,rain,rain,rain:620,620
brands:00571,brands,SKYY,skyy,skyy,skyy:31,31
brands:00574,brands,Tito's,titos,titos,titos:13,13
brands:00575,brands,Three Olives,three-olives,three-olives,three-olives:1,1
brands:00576,brands,UV,uv,uv,uv:246,246
brands:00577,brands,VÄD,vad,vad,vad:41,41
brands:00583,brands,Casamigos,casamigos,casamigos,casamigos:4,4
brands:00584,brands,Casa Dragones,casa-dragones,casa-dragones,casa-dragones:1,1
brands:00587,brands,Corralejo,corralejo,corralejo,corralejo:2,2
brands:00588,brands,Corzo,corzo,corzo,corzo:5,5
brands:00591,brands,Don Julio,don-julio,don-julio,don-julio:4,4
brands:00594,brands,Espolon,espolon,espolon,espolon:6,6
brands:00597,brands,Herradura,herradura,herradura,herradura:9,9
brands:00599,brands,Jose Cuervo,jose-cuervo,jose-cuervo|tequila-jose-cuervo,jose-cuervo:1,1
brands:00600,brands,Kirkland Signature,kirkland-signature,kirkland-signature,kirkland-signature:16,16
brands:00604,brands,Patrón,patron,patron|patron-tequila|tequila-patron,patron:188,188
brands:00612,brands,Tres Generaciones,tres-generaciones,tres-generaciones,tres-generaciones:2,2
brands:00617,brands,Intramuros Liqueur de Cacao,intramuros,intramuros,intramuros:3,3
brands:00618,brands,Liqueur Fogg,fogg,fogg|liqueur-fogg,fogg:1,1
brands:00622,brands,Sabra liqueur,sabra,sabra,sabra:7,7
brands:00624,brands,Mon Chéri,mon-cheri,mon-cheri,mon-cheri:1,1
brands:00625,brands,Cadbury Cream Liqueur,cadbury,cadbury,cadbury:6,6
brands:00636,brands,Allen's Coffee Brandy,allens,allens|allens-coffee-brandy,allens:17,17
brands:00642,brands,Kahlúa,kahlua,kahlua,kahlua:7,7
brands:00646,brands,Kapali Coffee Liqueur,kapali,kapali,kapali:18,18
brands:00655,brands,Sabroso,sabroso,sabroso,sabroso:17,17
brands:00656,brands,Sheridan's,sheridans,sheridans,sheridans:3,3
brands:00662,brands,Toussaint Coffee Liqueur,toussaint,toussaint|toussaint-coffee-liqueur,toussaint:12,12
brands:00663,brands,B52 Coffee Liqueur,b52,b52,b52:2,2
brands:00664,brands,Advocaat,advocaat,advocaat,advocaat:8,8
brands:00665,brands,Amarula,amarula,amarula,amarula:1,1
brands:00666,brands,Baileys Irish Cream,baileys-irish,baileys-irish|baileys-irish-cream|baileys,baileys-irish:1|baileys:38,38
brands:00674,brands,Heather Cream,heather,heather,heather:326,326
brands:00676,brands,Malibu,malibu,malibu|malibu-liqueur|malibu-rum,malibu:182|malibu-rum:1,182
brands:00677,brands,Ponche crema,ponche-crema,ponche-crema,ponche-crema:1,1
brands:00679,brands,RumChata,rumchata,rumchata,rumchata:5,5
brands:00685,brands,Voodoo Cream Liqueur,voodoo,voodoo,voodoo:53,53
brands:00686,brands,Crème de banane,creme-de-banane,creme-de-banane,creme-de-banane:1,1
brands:00687,brands,Crème de cacao,creme-de-cacao,creme-de-cacao,creme-de-cacao:1,1
brands:00690,brands,Crème de menthe,creme-de-menthe,creme-de-menthe,creme-de-menthe:1,1
brands:00695,brands,Rosolio,rosolio,rosolio,rosolio:1,1
brands:00696,brands,Italicus,italicus,italicus,italicus:2,2
brands:00697,brands,St-Germain,st-germain,st-germain,st-germain:10,10
brands:00698,brands,Chambord,chambord,chambord,chambord:9,9
brands:00700,brands,Hideous,hideous,hideous,hideous:9,9
brands:00701,brands,Lakka,lakka,lakka,lakka:1,1
brands:00702,brands,Lillehammer,lillehammer,lillehammer,lillehammer:8,8
brands:00703,brands,Mirto,mirto,mirto,mirto:2,2
brands:00706,brands,XUXU,xuxu,xuxu,xuxu:1,1
brands:00711,brands,Maraschino,maraschino,maraschino,maraschino:2,2
brands:00713,brands,Aurum,aurum,aurum,aurum:4,4
brands:00714,brands,Cointreau,cointreau,cointreau,cointreau:9,9
brands:00715,brands,Curaçao,curacao,curacao,curacao:50,50
brands:00717,brands,Grand Marnier,grand-marnier,grand-marnier,grand-marnier:3,3
brands:00719,brands,Hesperidina,hesperidina,hesperidina,hesperidina:1,1
brands:00721,brands,Triple sec,triple-sec,triple-sec,triple-sec:3,3
brands:00723,brands,99 Schnapps,99-schnapps,99-schnapps,99-schnapps:1,1
brands:00726,brands,Licor 43,licor-43,licor-43,licor-43:2,2
brands:00733,brands,Limoncello,limoncello,limoncello,limoncello:58,58
brands:00734,brands,Manzana verde,manzana-verde,manzana-verde,manzana-verde:1,1
brands:00736,brands,Midori,midori,midori,midori:16,16
brands:00738,brands,Pama,pama,pama,pama:2,2
brands:00741,brands,Pucker,pucker,pucker,pucker:2,2
brands:00742,brands,Rhythm,rhythm,rhythm,rhythm:81,81
brands:00743,brands,Sloe gin,sloe-gin,sloe-gin,sloe-gin:2,2
brands:00744,brands,Soho,soho,soho,soho:82,82
brands:00747,brands,Umeshu,umeshu,umeshu,umeshu:1,1
brands:00750,brands,Anís,anis,anis,anis:13,13
brands:00754,brands,Galliano,galliano,galliano,galliano:8,8
brands:00757,brands,Pastis,pastis,pastis,pastis:7,7
brands:00759,brands,Ricard,ricard,ricard,ricard:20,20
brands:00760,brands,Sambuca,sambuca,sambuca,sambuca:3,3
brands:00764,brands,Cucui,cucui,cucui,cucui:1,1
brands:00768,brands,Amaro,amaro,amaro,amaro:69,69
brands:00770,brands,Beirão,beirao,beirao,beirao:3,3
brands:00771,brands,Bénédictine,benedictine,benedictine,benedictine:4,4
brands:00774,brands,Canton,canton,canton,canton:148,148
brands:00775,brands,Chartreuse,chartreuse,chartreuse,chartreuse:11,11
brands:00780,brands,Fernet,fernet,fernet,fernet:1,1
brands:00784,brands,Jägermeister,jagermeister,jagermeister,jagermeister:13,13
brands:00789,brands,Mamajuana,mamajuana,mamajuana|mama-juana,mamajuana:3,3
brands:00790,brands,Mastica,mastica,mastica,mastica:2,2
brands:00792,brands,Menta,menta,menta,menta:38,38
brands:00793,brands,Metaxa,metaxa,metaxa,metaxa:2,2
brands:00794,brands,Minttu,minttu,minttu,minttu:1,1
brands:00797,brands,Strega,strega,strega,strega:12,12
brands:00800,brands,Unicum,unicum,unicum,unicum:14,14
brands:00810,brands,Amaretto,amaretto,amaretto,amaretto:22,22
brands:00811,brands,Disaronno,disaronno,disaronno,disaronno:2,2
brands:00815,brands,Nocino,nocino,nocino,nocino:3,3
brands:00817,brands,Peanut liqueur,peanut,peanut,peanut:663,663
brands:00821,brands,Rivulet,rivulet,rivulet,rivulet:1,1
brands:00827,brands,Fireball Cinnamon Whisky,fireball-cinnamon,fireball-cinnamon|fireball-cinnamon-whisky|fireball-whisky,fireball-cinnamon:1|fireball-cinnamon-whisky:1,1
brands:00831,brands,Heaven Hill,heaven-hill,heaven-hill|heaven-hill-distilleries-inc|heaven-hill-distilleries,heaven-hill:4,4
brands:00840,brands,Orangerie,orangerie,orangerie,orangerie:8,8
brands:00844,brands,Southern Comfort,southern-comfort,southern-comfort|soco,southern-comfort:5|soco:10,10
brands:00845,brands,Sweet Revenge,sweet-revenge,sweet-revenge,sweet-revenge:158,158
brands:00846,brands,The Knot,the-knot,the-knot,the-knot:23,23
brands:00847,brands,Wallace Liqueur,wallace,wallace,wallace:221,221
brands:00849,brands,After Shock,after-shock,after-shock,after-shock:3,3
brands:00850,brands,Agnes,agnes,agnes,agnes:59,59
brands:00852,brands,Armada,armada,armada,armada:106,106
brands:00857,brands,Campari,campari,campari|campari-bitter,campari:9|campari-bitter:1,9
brands:00859,brands,Damiana,damiana,damiana,damiana:6,6
brands:00860,brands,Gabriel,gabriel,gabriel,gabriel:424,424
brands:00870,brands,Mesi,mesi,mesi,mesi:277,277
brands:00873,brands,Returner,returner,returner,returner:7,7
brands:00874,brands,Qi,qi,qi,qi:131,131
brands:00886,brands,2 Towns Ciderhouse,2-towns-ciderhouse,2-towns-ciderhouse,2-towns-ciderhouse:2,2
brands:00888,brands,Ace Cider,ace,ace|ace-cider,ace:642,642
brands:00889,brands,Angry Orchard,angry-orchard,angry-orchard,angry-orchard:1,1
brands:00890,brands,Arsenal Cider House,arsenal,arsenal|arsenal-cider-house,arsenal:1234,1234
brands:00892,brands,Bantam Cider,bantam,bantam|bantam-cider,bantam:34,34
brands:00893,brands,Black Star,black-star,black-star,black-star:4,4
brands:00894,brands,Blackthorn Cider,blackthorn,blackthorn,blackthorn:2,2
brands:00896,brands,Brothers Cider,brothers,brothers|brothers-cider|brother-cider,brothers:817,817
brands:00897,brands,H. P. Bulmer,h-p-bulmer,h-p-bulmer|bulmers|hp-bulmer|hp-bulmers,bulmers:1,1
brands:00898,brands,Lost Boy Cider,lost-boy,lost-boy,lost-boy:4,4
brands:00899,brands,Bulmers,bulmers,bulmers,bulmers:1,1
brands:00901,brands,Carling Cider,carling,carling,carling:16,16
brands:00904,brands,Crispin Cider,crispin,crispin,crispin:7,7
brands:00906,brands,Downeast Cider House,downeast,downeast,downeast:10,10
brands:00907,brands,Doc’s Cider,docs,docs,docs:1896,1896
brands:00908,brands,Fizz,fizz,fizz,fizz:67,67
brands:00911,brands,Gaymer Cider Company,gaymer,gaymer|gaymer-cider-company|gaymer-cider|gaymers-cider,gaymer:1,1
brands:00918,brands,Mercury Cider,mercury,mercury,mercury:329,329
brands:00921,brands,Orchard Pig,orchard-pig,orchard-pig,orchard-pig:1,1
brands:00929,brands,Savanna Cider,savanna,savanna,savanna:10,10
brands:00930,brands,Schneewittchen Cidre,schneewittchen,schneewittchen,schneewittchen:2,2
brands:00933,brands,Stella Artois cider brand,stella-artois,stella-artois,stella-artois:3,3
brands:00936,brands,Strongbow Cider,strongbow,strongbow,strongbow:3,3
brands:00938,brands,Taunton Cider Company,taunton,taunton,taunton:90,90
brands:00939,brands,Thatchers Cider,thatchers,thatchers|thatchers-cider|thatcher-cider,thatchers:2,2
