keyword,mode,n_positions
strawberry-blonde,m,13
strong,m,13
sun-up,m,13
thomas-hooker,m,13
trader-joes,m,13
vanilla-bean,m,13
wild-goose,m,13
witbier,m,13
xpa,m,13
4-pines,m,12
amstel,m,12
anacortes,m,12
apple,m,12
barrington,m,12
bernard,m,12
black-jack,m,12
blackberry-wheat,m,12
blackout,m,12
breakfast,m,12
british,m,12
ceres,m,12
chocolate-cherry,m,12
citra,m,12
dicks,m,12
dogwood,m,12
firehouse,m,12
great-western,m,12
gritty-mcduffs,m,12
java,m,12
kaiser,m,12
kitzmann,m,12
lagunitas,m,12
matilda-bay,m,12
mayflower,m,12
moa,m,12
mocha,m,12
ochakovo,m,12
olands,m,12
red-hill,m,12
redhook,m,12
river-horse,m,12
roggenbier,m,12
san-miguel,m,12
stoney-creek,m,12
sunshine-coast,m,12
tbonz,m,12
tooheys,m,12
total-disorder,m,12
warsteiner,m,12
alligator,m,11
american-amber,m,11
augusta,m,11
black-cat,m,11
black-magic,m,11
blitzen,m,11
bourbon-barrel-aged,m,11
bourbon-barrel-imperial,m,11
buffalo,m,11
cape-cod,m,11
celebration,m,11
clocktower,m,11
colonial,m,11
diamond-knot,m,11
downtown-brown,m,11
dry-hopped,m,11
einbecker,m,11
epic,m,11
firestone,m,11
fordham,m,11
gourmetbryggeriet,m,11
grand-union,m,11
grolsch,m,11
hydes,m,11
jacks,m,11
jamieson,m,11
jaxons,m,11
jopen,m,11
last-drop,m,11
lighthouse,m,11
mahrs,m,11
market-street,m,11
midnight,m,11
mohawk,m,11
mountain,m,11
northern-light,m,11
odd-notion,m,11
otter,m,11
peach-wheat,m,11
propeller,m,11
rauch,m,11
rebellion,m,11
riedenburger,m,11
suntory,m,11
throwback,m,11
trailhead,m,11
trapp,m,11
two-rows,m,11
uber,m,11
winterfest,m,11
aass,m,10
abbey-normal,m,10
alcatraz,m,10
autumn,m,10
avery,m,10
baeren,m,10
brand,m,10
cheshire-valley,m,10
dunedin,m,10
erdinger,m,10
fest,m,10
festivus,m,10
greene-king,m,10
hahn,m,10
honey-brown,m,10
imperial-pale,m,10
kriek,m,10
lakeport,m,10
laughing-dog,m,10
live-oak,m,10
love,m,10
macleans,m,10
mango,m,10
maple,m,10
mission,m,10
niagara,m,10
ohanlons,m,10
old-world,m,10
original,m,10
palmetto,m,10
peak-organic,m,10
peoples,m,10
peoples-pint,m,10
portsmouth-brewing,m,10
prohibition,m,10
pumpkin-spice,m,10
replicale,m,10
roosters,m,10
royal,m,10
saranac,m,10
shepherd-neame,m,10
shipyard,m,10
simcoe-pale,m,10
skinners,m,10
st-georgenbrau,m,10
steam,m,10
sticke,m,10
summer-solstice,m,10
thisted,m,10
triumph,m,10
weiss,m,10
west-coast,m,10
abbaye-de-saint-bon-chien-grand-cru,m,9
afanasy,m,9
alpirsbacher-klosterbrau,m,9
amarillo-pale,m,9
ambree,m,9
angel-city,m,9
arcobrau,m,9
aurora,m,9
b-o-station,m,9
barefoot,m,9
barrel-aged,m,9
belgian-trippel,m,9
berliner-kindl,m,9
biere-de-mars,m,9
black-cherry,m,9
black-creek,m,9
blond,m,9
buttface-amber,m,9
california-common,m,9
cask-conditioned,m,9
church-brew,m,9
city,m,9
classic,m,9
coronado,m,9
dark-wheat,m,9
