keyword,n_positions,local_quantity
oak-creek,13,7
olde-towne,13,1
ossett,13,3
pale-rider,13,3
pils,13,9
strawberry-blonde,13,5
strong,13,844
sun-up,13,1
thomas-hooker,13,0
trader-joes,13,78
vanilla-bean,13,17
wild-goose,13,14
witbier,13,0
xpa,13,2
4-pines,12,0
amstel,12,5
anacortes,12,13
apple,12,3111
barrington,12,44
bernard,12,253
black-jack,12,9
blackberry-wheat,12,0
blackout,12,112
breakfast,12,893
british,12,1474
ceres,12,28
chocolate-cherry,12,13
citra,12,16
dicks,12,19
dogwood,12,31
firehouse,12,31
great-western,12,10
gritty-mcduffs,12,0
java,12,1992
kaiser,12,74
kitzmann,12,1
lagunitas,12,0
matilda-bay,12,0
mayflower,12,14
moa,12,144
mocha,12,55
ochakovo,12,0
olands,12,1
red-hill,12,12
redhook,12,2
river-horse,12,0
roggenbier,12,0
san-miguel,12,57
stoney-creek,12,9
sunshine-coast,12,16
tbonz,12,0
tooheys,12,0
total-disorder,12,0
warsteiner,12,3
alligator,11,140
american-amber,11,0
augusta,11,203
black-cat,11,39
black-magic,11,24
blitzen,11,10
bourbon-barrel-aged,11,0
bourbon-barrel-imperial,11,0
buffalo,11,826
cape-cod,11,54
celebration,11,412
clocktower,11,4
colonial,11,182
diamond-knot,11,0
downtown-brown,11,0
dry-hopped,11,1
einbecker,11,1
epic,11,1046
firestone,11,34
fordham,11,20
gourmetbryggeriet,11,0
grand-union,11,0
grolsch,11,3
hydes,11,1
jacks,11,85
jamieson,11,8
jaxons,11,0
jopen,11,0
last-drop,11,2
lighthouse,11,175
mahrs,11,0
market-street,11,10
midnight,11,423
mohawk,11,42
mountain,11,1300
northern-light,11,2
odd-notion,11,0
otter,11,69
peach-wheat,11,0
propeller,11,28
rauch,11,39
rebellion,11,76
riedenburger,11,0
suntory,11,6
throwback,11,228
trailhead,11,11
trapp,11,27
two-rows,11,3
uber,11,433
winterfest,11,8
aass,10,0
abbey-normal,10,0
alcatraz,10,154
autumn,10,211
avery,10,106
baeren,10,39
brand,10,1682
cheshire-valley,10,0
dunedin,10,54
erdinger,10,1
fest,10,524
festivus,10,1
greene-king,10,8
hahn,10,32
honey-brown,10,4
imperial-pale,10,0
kriek,10,0
lakeport,10,4
laughing-dog,10,0
live-oak,10,24
love,10,11113
macleans,10,4
mango,10,586
maple,10,413
mission,10,1114
niagara,10,226
ohanlons,10,0
old-world,10,30
original,10,1885
palmetto,10,53
peak-organic,10,0
peoples,10,399
peoples-pint,10,0
portsmouth-brewing,10,0
prohibition,10,19
pumpkin-spice,10,12
replicale,10,0
roosters,10,20
royal,10,3983
saranac,10,4
shepherd-neame,10,0
shipyard,10,32
simcoe-pale,10,0
skinners,10,3
st-georgenbrau,10,0
steam,10,1612
sticke,10,0
summer-solstice,10,11
thisted,10,4
triumph,10,294
weiss,10,379
west-coast,10,112
abbaye-de-saint-bon-chien-grand-cru,9,0
afanasy,9,0
alpirsbacher-klosterbrau,9,0
amarillo-pale,9,0
ambree,9,2
angel-city,9,8
arcobrau,9,0
aurora,9,411
b-o-station,9,0
barefoot,9,49
barrel-aged,9,7
belgian-trippel,9,0
berliner-kindl,9,0
biere-de-mars,9,0
black-cherry,9,10
black-creek,9,1
blond,9,105
buttface-amber,9,0
california-common,9,0
cask-conditioned,9,0
church-brew,9,0
city,9,13603
classic,9,6701
coronado,9,48
dark-wheat,9,0
diablo,9,1300
double-chocolate,9,45
dry-irish,9,0
equinox,9,108
flagstaff,9,48
flensburger,9,0
gage-roads,9,0
ginga-kogen,9,0
great-pumpkin,9,0
greens,9,131
hawkshead,9,2
heritage,9,769
highlander,9,173
hook-ladder,9,5
imperial-brown,9,0
independence,9,213
jolly,9,56
jt-schmids,9,0
kellerbier,9,0
kulmbacher,9,2
landwehr,9,1
lazy-boy,9,1
lion,9,550
little-creatures,9,0
lowenbrau,9,0
mad-anthony,9,0
main-street,9,102
marin,9,264
moosehead,9,1
mornington-peninsula,9,18
oud-bruin,9,0
paradise,9,592
peach,9,365
pegs,9,12
pitfield,9,0
red-rye,9,0
ringwood,9,10
russell,9,548
saku,9,9
santa-maria,9,165
sarmat,9,0
schwartz,9,93
schwarz,9,247
silver-creek,9,9
simcoe,9,35
spaten,9,0
squatters,9,33
strawberry,9,903
struise,9,0
sudwerk,9,0
tatonka,9,0
tavern,9,129
trippel,9,0
tsingtao,9,0
tuatara,9,2
victoria,9,1185
wheat-wine,9,0
whiskey,9,215
winter-wheat,9,1
yuengling,9,3
80-shilling,8,0
alpine,8,225
ambacht,8,2
amber-waves,8,2
ballards,8,2
bandersnatch,8,3
bank-street,8,3
bayern,8,2537
bierhalle,8,0
big-sky,8,25
black-rock,8,11
blackstone,8,128
blackwater,8,23
blue,8,4243
boundary-bay,8,0
caldera,8,15
chateau-bel-air,8,0
cherry-wheat,8,0
crooked-stave,8,0
darkside,8,13
dirty-blonde,8,5
dominator,8,20
dominion,8,102
double-red,8,3
ellis-island,8,9
endless-summer,8,9
english-brown,8,0
everards,8,3
fat-heads,8,1
festbier,8,1
flat-tail,8,0
fosters,8,83
freedom,8,524
gahan-house,8,0
genesee,8,12
ghost-river,8,0
hammerhead-red,8,0
harvest-wheat,8,0
heineken,8,24
hoppy,8,2
hub-city,8,4
india-red,8,0
indian-pale,8,0
innstadt,8,0
king,8,3599
kirkland-signature,8,16
kopparbergs,8,0
krombacher,8,1
kross,8,19
lengthwise,8,1
macs,8,25
masthead,8,170
motor-city,8,3
narragansett,8,12
northampton,8,104
nugget,8,53
old-capitol-brew-works,8,0
orion,8,66
ottakringer,8,0
pabst,8,2
pacific,8,661
paper-city,8,2
piranha-pale,8,0
rapscallion,8,0
red-star,8,7
red-truck,8,1
rogue,8,763
rousse,8,30
santas-little-helper,8,1
session,8,546
shenandoah,8,39
single-hop-imperial,8,0
spanish-springs,8,2
stella-artois,8,3
stock,8,3310
strawberry-wheat,8,0
stuttgarter-hofbrau,8,0
super,8,6071
sweet,8,1862
tallgrass,8,4
terminator,8,182
topvar,8,0
tun-tavern,8,0
vanilla-cream,8,2
warrior,8,796
watermelon-wheat,8,0
weisse,8,51
wells,8,207
williams,8,3258
winter-solstice,8,4
20th-anniversary,7,58
71-pale,7,0
ahornberger,7,0
albani,7,7
alfa,7,432
bamberg,7,121
belgian-strong,7,0
berliner-burgerbrau,7,0
big-buck,7,2
big-dogs,7,6
big-river,7,3
black-and-tan,7,0
black-pearl,7,36
black-widow,7,71
bluetongue,7,0
bockbier,7,0
bohemia,7,26
bowen-island,7,3
braggot,7,0
brewbaker,7,1
brown-bear,7,9
brune,7,15
carib,7,3
casco-bay,7,2
cesu,7,2
chateau-bellevue,7,0
chili,7,509
chinook,7,15
chocolate-mint,7,5
cocoa,7,104
coffee-cream,7,4
cole,7,338
colorado-brewing,7,0
concord,7,150
copper-creek,7,1
crooked-river,7,1
dahlonega,7,5
decadence,7,22
dock-street,7,0
elmwood,7,58
estes-park,7,25
feldschlosschen,7,0
frostbite,7,23
gose,7,1
gulpener,7,0
hammer-nail,7,0
heartland,7,151
herrnbrau,7,0
hop-monster,7,0
hop-scotch,7,0
hoptoberfest,7,0
hummel,7,22
hurricane,7,274
iceni,7,0
kaltenberg,7,0
kamenitza,7,0
konigsbacher,7,0
left-hand,7,23
lemke,7,4
liberator,7,3
liberty,7,462
lost-coast,7,0
manchester,7,2436
maximus,7,27
memminger,7,4
minhas,7,15
monks,7,28
motor-city-brewing,7,0
nit,7,97
nitro,7,116
noble,7,110
northern,7,934
northern-lights,7,58
northern-rivers,7,2
nutty-brewnette,7,0
park,7,6864
phoenix,7,892
powerhouse,7,50
prairie,7,226
real,7,10506
red-light,7,210
resurrection,7,127
ryepa,7,0
schorschbrau,7,0
sledgehammer,7,5
smoke-from-the-oak,7,0
smokey-the,7,0
snake-river,7,10
solstice,7,40
stratford,7,82
summer-blonde,7,0
svaneke,7,1
takau,7,0
three-boys,7,1
thunder-bay,7,21
thurn-und-taxis,7,6
traditional,7,656
unibroue,7,0
