position_id,source,name,keyword,tier,optional,decision,reason,df,opt_recall
brands:00468,brands,Rachmaninoff,rachmaninoff,drop,,drop,opt_recall<2,2,0
brands:00469,brands,Wodka Gorbatschow,wodka-gorbatschow,drop,,drop,opt_recall<2,1,0
brands:00471,brands,Royal Dragon,royal-dragon,drop,,drop,opt_recall<2,1,0
brands:00472,brands,Reyka,reyka,drop,,drop,opt_recall<2,1,1
brands:00473,brands,Magic Moments,magic-moments,drop,,drop,opt_recall<2,4,0
brands:00474,brands,Romanov,romanov,drop,,drop,opt_recall<2,3,0
brands:00475,brands,White Mischief,white-mischief,drop,,drop,opt_recall<2,1,0
brands:00478,brands,Roberto Cavalli,roberto-cavalli,drop,,drop,opt_recall<2,4,0
brands:00479,brands,Haku,haku,drop,,drop,opt_recall<2,23,0
brands:00481,brands,Clique,clique,drop,,drop,opt_recall<2,22,0
brands:00484,brands,Oso Negro,oso-negro,drop,,drop,opt_recall<2,1,0
brands:00485,brands,Villa Lobos,villa-lobos,drop,,drop,opt_recall<2,6,0
brands:00487,brands,Bols,bols,drop,,drop,opt_recall<2,8,1
brands:00490,brands,Ketel One,ketel-one,drop,,drop,opt_recall<2,1,0
brands:00491,brands,Ursus,ursus,drop,,drop,opt_recall<2,39,0
brands:00492,brands,Vox,vox,drop,,drop,DF>cap_pospolite,624,0
brands:00498,brands,Belvedere,belvedere,keep,vodka|wodka|spirits|spirit|polmos,keep,required+optional@1,35,3
brands:00500,brands,Chopin,chopin,drop,,drop,opt_recall<2,10,0
brands:00502,brands,Cracovia,cracovia,drop,,drop,opt_recall<2,10,0
brands:00503,brands,Krupnik,krupnik,drop,,drop,opt_recall<2,2,0
brands:00504,brands,Luksusowa,luksusowa,drop,,drop,opt_recall<2,4,0
brands:00505,brands,Łańcut,lancut,drop,,drop,opt_recall<2,6,0
brands:00506,brands,Polonaise,polonaise,drop,,drop,opt_recall<2,2,0
brands:00508,brands,Sobieski,sobieski,drop,,drop,opt_recall<2,5,0
brands:00510,brands,Starka,starka,drop,,drop,opt_recall<2,3,0
brands:00515,brands,Żubrówka,zubrowka,drop,,drop,opt_recall<2,1,0
brands:00518,brands,Kauffman (Кауфман),kauffman,drop,,drop,opt_recall<2,10,0
brands:00529,brands,Stolichnaya (Столичная),stoli,drop,,drop,opt_recall<2,1,0
brands:00532,brands,Double Cross,double-cross,drop,,drop,opt_recall<2,15,0
brands:00533,brands,V44,v44,drop,,drop,opt_recall<2,2,0
brands:00534,brands,Absolut,absolut,drop,,drop,opt_recall<2,131,1
brands:00535,brands,Explorer,explorer,drop,,drop,DF>cap_pospolite,392,0
brands:00536,brands,Karlsson's,karlssons,drop,,drop,opt_recall<2,1,0
brands:00537,brands,Level,level,drop,,drop,DF>cap_pospolite,2434,0
brands:00541,brands,Svedka,svedka,drop,,drop,opt_recall<2,1,1
