id,keyword,keyword_variants,optional,category,country,maker,extra,sources,aka
St-Germain,st-germain,st-germain,liqueur|flower|liqueurs,liqueur,,,Flower liqueurs,alkohole_wikidata|liqueur_brands|twe_brands,St Germain|St. Germain
Chambord,chambord,chambord,liqueur|berry|liqueurs,liqueur,,,Berry liqueurs,alkohole_wikidata|liqueur_brands|twe_brands,
Guavaberry,guavaberry,guavaberry,liqueur|berry|liqueurs,liqueur,,,Berry liqueurs,liqueur_brands,
Hideous,hideous,hideous,liqueur|berry|liqueurs,liqueur,,,Berry liqueurs,liqueur_brands,
Lakka,lakka,lakka,liqueur|berry|liqueurs,liqueur,,,Berry liqueurs,liqueur_brands,
Lillehammer,lillehammer,lillehammer,liqueur|berry|liqueurs,liqueur,,,Berry liqueurs,liqueur_brands,
Mirto,mirto,mirto,liqueur|berry|liqueurs,liqueur,,,Berry liqueurs,liqueur_brands,
Mouse Kingdom Liqueurs,mouse-kingdom-liqueurs,mouse-kingdom-liqueurs,liqueur|berry,liqueur,,,Berry liqueurs,liqueur_brands,
Murtado,murtado,murtado,liqueur|berry|liqueurs,liqueur,,,Berry liqueurs,liqueur_brands,
XUXU,xuxu,xuxu,liqueur|berry|liqueurs,liqueur,,,Berry liqueurs,liqueur_brands,
Og natura Stone Bramble Liqueur,og-natura-stone-bramble,og-natura-stone-bramble,liqueur|berry|liqueurs,liqueur,,,Berry liqueurs,liqueur_brands,
Cherry Heering,cherry-heering,cherry-heering,liqueur|liqueurs,liqueur,,,Cherry liqueurs,liqueur_brands|twe_brands,
Ginjinha,ginjinha,ginjinha,liqueur|cherry|liqueurs,liqueur,,,Cherry liqueurs,liqueur_brands,
Guignolet,guignolet,guignolet,liqueur|cherry|liqueurs,liqueur,,,Cherry liqueurs,liqueur_brands,
Maraschino,maraschino,maraschino,liqueur|cherry|liqueurs,liqueur,,,Cherry liqueurs,liqueur_brands,
Vișinată,visinata,visinata,liqueur|cherry|liqueurs,liqueur,,,Cherry liqueurs,liqueur_brands,
Aurum,aurum,aurum,liqueur|orange|liqueurs,liqueur,,,Orange liqueurs,liqueur_brands|twe_brands,
Cointreau,cointreau,cointreau,liqueur|spirits|orange|liqueurs,liqueur|spirits,,,Orange liqueurs,liqueur_brands|twe_brands,
Curaçao,curacao,curacao,liqueur|orange|liqueurs,liqueur,,,Orange liqueurs,liqueur_brands,
Garluche,garluche,garluche,liqueur|orange|liqueurs,liqueur,,,Orange liqueurs,liqueur_brands,
Grand Marnier,grand-marnier,grand-marnier,liqueur|france|orange|liqueurs,liqueur,France,,Orange liqueurs,alkohole_wikidata|liqueur_brands|twe_brands,
GranGala,grangala,grangala,liqueur|orange|liqueurs,liqueur,,,Orange liqueurs,liqueur_brands,
Hesperidina,hesperidina,hesperidina,liqueur|orange|liqueurs,liqueur,,,Orange liqueurs,liqueur_brands,
Mandarine Napoléon,mandarine-napoleon,mandarine-napoleon,liqueur|orange|liqueurs,liqueur,,,Orange liqueurs,liqueur_brands|twe_brands,Mandarine Napoleon
Triple sec,triple-sec,triple-sec,liqueur|orange|liqueurs,liqueur,,,Orange liqueurs,liqueur_brands,
Van Der Hum,van-der-hum,van-der-hum,liqueur|orange|liqueurs,liqueur,,,Orange liqueurs,liqueur_brands,
99 Schnapps,99-schnapps,99-schnapps,liqueur|other,liqueur,,,Other,liqueur_brands,
Bajtra,bajtra,bajtra,liqueur|other,liqueur,,,Other,liqueur_brands,
Cuarenta Y Tres,cuarenta-y-tres,cuarenta-y-tres,liqueur|other,liqueur,,,Other,liqueur_brands,
Licor 43,licor-43,licor-43,liqueur|other,liqueur,,,Other,liqueur_brands|twe_brands,
Damson gin,damson-gin,damson-gin,liqueur|other,liqueur,,,Other,liqueur_brands,
Hpnotiq,hpnotiq,hpnotiq,liqueur|france|united-states|heaven-hill|other,liqueur,France|United States,Heaven Hill,Other,alkohole_wikidata|liqueur_brands|twe_brands,
Jabuticaba,jabuticaba,jabuticaba,liqueur|other,liqueur,,,Other,liqueur_brands,
Kruškovac,kruskovac,kruskovac,liqueur|other,liqueur,,,Other,liqueur_brands,
Kwai Feh,kwai-feh,kwai-feh,liqueur|other,liqueur,,,Other,liqueur_brands|twe_brands,
Lichido,lichido,lichido,liqueur|other,liqueur,,,Other,liqueur_brands,
Limoncello,limoncello,limoncello,liqueur|other,liqueur,,,Other,liqueur_brands,
Manzana verde,manzana-verde,manzana-verde,liqueur|other,liqueur,,,Other,liqueur_brands,
Medronho,medronho,medronho,liqueur|other,liqueur,,,Other,liqueur_brands,
Midori,midori,midori,liqueur|japan|suntory|other,liqueur,Japan,Suntory,Other,alkohole_wikidata|liqueur_brands|twe_brands,
Noyau de Poissy,noyau-de-poissy,noyau-de-poissy,liqueur|other,liqueur,,,Other,liqueur_brands,
Pama,pama,pama,liqueur|other,liqueur,,,Other,alkohole_wikidata|liqueur_brands|twe_brands,PAMA
Passoã,passoa,passoa,liqueur|other,liqueur,,,Other,liqueur_brands|twe_brands,Passoa
Pisang Ambon,pisang-ambon,pisang-ambon,liqueur|other,liqueur,,,Other,liqueur_brands|twe_brands,
Pucker,pucker,pucker,liqueur|other,liqueur,,,Other,liqueur_brands,
Rhythm,rhythm,rhythm,liqueur|united-states|other,liqueur,United States,,Other,alkohole_wikidata|liqueur_brands,
Sloe gin,sloe-gin,sloe-gin,liqueur|other,liqueur,,,Other,liqueur_brands,
Soho,soho,soho,liqueur|other,liqueur,,,Other,liqueur_brands,
Sombai,sombai,sombai,liqueur|other,liqueur,,,Other,liqueur_brands,
TY KU,ty-ku,ty-ku,liqueur|other,liqueur,,,Other,liqueur_brands,
Umeshu,umeshu,umeshu,liqueur|other,liqueur,,,Other,liqueur_brands,
X-Rated Fusion Liqueur,x-rated-fusion,x-rated-fusion,liqueur|other,liqueur,,,Other,liqueur_brands,
Yangmeijiu,yangmeijiu,yangmeijiu,liqueur|other,liqueur,,,Other,liqueur_brands,
Anís,anis,anis,liqueur|anise|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands,
Licor Aniz Escarchado,licor-aniz-escarchado,licor-aniz-escarchado,liqueur|anise|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands,
Anisette,anisette,anisette,liqueur|anise|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands,
Centerbe,centerbe,centerbe,liqueur|anise|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands,
Galliano,galliano,galliano,liqueur|anise|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands|twe_brands,
Herbsaint,herbsaint,herbsaint,liqueur|sazerac-company|anise|flavored|liqueurs,liqueur,,Sazerac Company,Anise-flavored liqueurs,alkohole_wikidata|liqueur_brands,
Passione Nera,passione-nera,passione-nera,liqueur|anise|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands,
Pastis,pastis,pastis,liqueur|anise|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands,
Patxaran,patxaran,patxaran,liqueur|anise|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands,
Ricard,ricard,ricard,liqueur|spirits|france|anise|flavored|liqueurs,liqueur|spirits,France,,Anise-flavored liqueurs,alkohole_wikidata|liqueur_brands|twe_brands,
Sambuca,sambuca,sambuca,liqueur|anise|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands,
Sombai Anise & Coffee,sombai-anise,sombai-anise,liqueur|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands,
Vespetrò,vespetro,vespetro,liqueur|anise|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands,
Xtabentún,xtabentun,xtabentun,liqueur|anise|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands,
Cucui,cucui,cucui,liqueur|anise|flavored|liqueurs,liqueur,,,Anise-flavored liqueurs,liqueur_brands,
Allasch,allasch,allasch,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Agwa de Bolivia,agwa-de-bolivia,agwa-de-bolivia,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,alkohole_wikidata|liqueur_brands,
Altvater,altvater,altvater,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Amaro,amaro,amaro,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Becherovka,becherovka,becherovka|karlsbader-becherbitter,liqueur|czech-republic|jan-becher-karlovarska-becherovka|other|herbal|liqueurs,liqueur,Czech Republic,Jan Becher – Karlovarská Becherovka,Other herbal liqueurs,alkohole_wikidata|liqueur_brands,
Beirão,beirao,beirao,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands|twe_brands,Beirao
Bénédictine,benedictine,benedictine,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,alkohole_wikidata|liqueur_brands|twe_brands,Benedictine
Boilo,boilo,boilo,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Calisaya,calisaya,calisaya,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Canton,canton,canton,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Chartreuse,chartreuse,chartreuse,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands|twe_brands,
Cynar,cynar,cynar,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,alkohole_wikidata|liqueur_brands|twe_brands,
Demänovka,demanovka,demanovka,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Danzig Goldwasser,danzig-goldwasser,danzig-goldwasser,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Everglo,everglo,everglo,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Fernet,fernet,fernet,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Gammel Dansk Bitter Dram,gammel-dansk,gammel-dansk,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Goldschläger,goldschlager,goldschlager,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands|twe_brands,Goldschlager
Jaan Paan Liqueur,jaan-paan,jaan-paan,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Jägermeister,jagermeister,jagermeister,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands|twe_brands,Jagermeister
Jing Jiu,jing-jiu,jing-jiu,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Killepitsch,killepitsch,killepitsch,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Krampus Herbal Liqueur,krampus-herbal,krampus-herbal,liqueur|other|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Kümmel,kummel,kummel,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Mamajuana,mamajuana,mamajuana|mama-juana,liqueur|other|herbal|liqueurs|honey,liqueur,,,Other herbal liqueurs|Honey liqueurs,liqueur_brands,Mama Juana
Mastica,mastica,mastica,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Mastichato,mastichato,mastichato,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Menta,menta,menta,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Metaxa,metaxa,metaxa,liqueur|spirits|other|herbal|liqueurs,liqueur|spirits,,,Other herbal liqueurs,liqueur_brands|twe_brands,
Minttu,minttu,minttu,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Riga Black Balsam,riga-black-balsam,riga-black-balsam,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Singeverga,singeverga,singeverga,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Strega,strega,strega,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands|twe_brands,
Tubi 60,tubi-60,tubi-60,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,alkohole_wikidata|liqueur_brands,
Underberg,underberg,underberg,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Unicum,unicum,unicum,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Yomeishu,yomeishu,yomeishu,liqueur|other|herbal|liqueurs,liqueur,,,Other herbal liqueurs,liqueur_brands,
Bärenjäger,barenjager,barenjager,liqueur|honey|liqueurs,liqueur,,,Honey liqueurs,liqueur_brands|twe_brands,
Drambuie,drambuie,drambuie,liqueur|honey|liqueurs,liqueur,,,Honey liqueurs,liqueur_brands|twe_brands,
Glayva,glayva,glayva,liqueur|honey|liqueurs,liqueur,,,Honey liqueurs,liqueur_brands|twe_brands,
Irish Mist,irish-mist,irish-mist,liqueur|ireland|honey|liqueurs,liqueur,Ireland,,Honey liqueurs,alkohole_wikidata|liqueur_brands|twe_brands,
Krambambula,krambambula,krambambula,liqueur|honey|liqueurs,liqueur,,,Honey liqueurs,liqueur_brands,
Rakomelo,rakomelo,rakomelo,liqueur|honey|liqueurs,liqueur,,,Honey liqueurs,liqueur_brands,
Ron miel,ron-miel,ron-miel,liqueur|honey|liqueurs,liqueur,,,Honey liqueurs,liqueur_brands,
Yukon Jack,yukon-jack,yukon-jack,liqueur|honey|liqueurs,liqueur,,,Honey liqueurs,liqueur_brands,
Amaretto,amaretto,amaretto,liqueur|nut|flavored|liqueurs,liqueur,,,Nut-flavored liqueurs,liqueur_brands,
Disaronno,disaronno,disaronno,liqueur|nut|flavored|liqueurs,liqueur,,,Nut-flavored liqueurs,liqueur_brands|twe_brands,
Frangelico,frangelico,frangelico,liqueur|italy|nut|flavored|liqueurs,liqueur,Italy,,Nut-flavored liqueurs,alkohole_wikidata|liqueur_brands|twe_brands,
Kahana Royale,kahana-royale,kahana-royale,liqueur|nut|flavored|liqueurs,liqueur,,,Nut-flavored liqueurs,liqueur_brands,
Nocello,nocello,nocello,liqueur|nut|flavored|liqueurs,liqueur,,,Nut-flavored liqueurs,liqueur_brands,
Nocino,nocino,nocino,liqueur|nut|flavored|liqueurs,liqueur,,,Nut-flavored liqueurs,liqueur_brands,
Orahovac,orahovac,orahovac,liqueur|nut|flavored|liqueurs,liqueur,,,Nut-flavored liqueurs,liqueur_brands,
Peanut liqueur,peanut,peanut,liqueur|nut|flavored|liqueurs,liqueur,,,Nut-flavored liqueurs,liqueur_brands,
Peanut Lolita,peanut-lolita,peanut-lolita,liqueur|nut|flavored|liqueurs,liqueur,,,Nut-flavored liqueurs,liqueur_brands,
Pochteca Almond Liqueur,pochteca-almond,pochteca-almond,liqueur|nut|flavored|liqueurs,liqueur,,,Nut-flavored liqueurs,liqueur_brands,
Ratafia,ratafia,ratafia,liqueur|nut|flavored|liqueurs,liqueur,,,Nut-flavored liqueurs,liqueur_brands,
Rivulet,rivulet,rivulet,liqueur|nut|flavored|liqueurs,liqueur,,,Nut-flavored liqueurs,liqueur_brands,
Atholl Brose,atholl-brose,atholl-brose,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Bruadar,bruadar,bruadar,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands|twe_brands,
Cock o' the North,cock-o-the-north,cock-o-the-north,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Eblana,eblana,eblana,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Famous Grouse liqueur,famous-grouse,famous-grouse,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Fireball Cinnamon Whisky,fireball-cinnamon,fireball-cinnamon|fireball-cinnamon-whisky|fireball-whisky,liqueur|whisky|canada|sazerac-company|liqueurs,liqueur|whisky,Canada,Sazerac Company,Whisky liqueurs,alkohole_wikidata|liqueur_brands,
Forty Creek Premium Cream Liqueur,forty-creek-premium,forty-creek-premium,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Glenfiddich Malt liqueur,glenfiddich-malt,glenfiddich-malt,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Glenturret Malt liqueur,glenturret-malt,glenturret-malt,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Heaven Hill,heaven-hill,heaven-hill|heaven-hill-distilleries-inc|heaven-hill-distilleries,liqueur|whisky|united-states|liqueurs,liqueur|whisky,United States,,Whisky liqueurs,alkohole_wikidata|liqueur_brands|twe_brands,
Jack Daniel's Tennessee Honey,jack-daniels-tennessee-honey,jack-daniels-tennessee-honey,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Jeremiah Weed,jeremiah-weed,jeremiah-weed,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Jim Beam Honey,jim-beam-honey,jim-beam-honey,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Jim Beam Red Stag,jim-beam-red-stag,jim-beam-red-stag,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Lochan Ora,lochan-ora,lochan-ora,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Murray Scottish Highland Liqueur,murray-scottish-highland,murray-scottish-highland,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Mystic Bourbon Liqueur,mystic-bourbon,mystic-bourbon,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Old Pulteney liqueur,old-pulteney,old-pulteney,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Orangerie,orangerie,orangerie,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Rock and Rye,rock-and-rye,rock-and-rye,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Sortilège Maple Whiskey Liqueur,sortilege-maple,sortilege-maple,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Stag's Breath,stags-breath,stags-breath,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands|twe_brands,
Southern Comfort,southern-comfort,southern-comfort|soco,liqueur|united-states|whisky|liqueurs,liqueur,United States,,Whisky liqueurs,alkohole_wikidata|liqueur_brands|twe_brands,
Sweet Revenge,sweet-revenge,sweet-revenge,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
The Knot,the-knot,the-knot,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Wallace Liqueur,wallace,wallace,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
Wild Turkey American Honey,wild-turkey-american-honey,wild-turkey-american-honey,liqueur|whisky|liqueurs,liqueur,,,Whisky liqueurs,liqueur_brands,
After Shock,after-shock,after-shock,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Agnes,agnes,agnes,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Ancho Reyes,ancho-reyes,ancho-reyes,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands|twe_brands,
Armada,armada,armada,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Baczewski,baczewski,baczewski,liqueur|vodka|other|liqueurs,liqueur|vodka,,,Other liqueurs,liqueur_brands|twe_brands,
Bärenfang,barenfang,barenfang,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Beechleaf noyau,beechleaf-noyau,beechleaf-noyau,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Bloody Oath,bloody-oath,bloody-oath,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Campari,campari,campari|campari-bitter,liqueur|vermouth|italy|campari-group|other|liqueurs,liqueur|vermouth,Italy,Campari Group,Other liqueurs,alkohole_wikidata|liqueur_brands|twe_brands,
Cohasset Punch,cohasset-punch,cohasset-punch,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Damiana,damiana,damiana,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Gabriel,gabriel,gabriel,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Génépi,genepi,genepi,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Izarra,izarra,izarra,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands|twe_brands,
Jumbie,jumbie,jumbie,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Kajmir,kajmir,kajmir,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
kareek rum,kareek-rum,kareek-rum,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Kännu Kukk,kannu-kukk,kannu-kukk,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Licor de oro,licor-de-oro,licor-de-oro,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Liqueurs de Sodabi,liqueurs-de-sodabi,liqueurs-de-sodabi,liqueur|other,liqueur,,,Other liqueurs,liqueur_brands,
Malört,malort,malort,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Mesi,mesi,mesi,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Palm wine,palm-wine,palm-wine,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Pimento Dram,pimento-dram,pimento-dram,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Returner,returner,returner,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Qi,qi,qi,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Qi White,qi-white,qi-white,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Rumpleminze,rumpleminze,rumpleminze|rumple-minze,liqueur|other|liqueurs,liqueur,,,Other liqueurs,alkohole_wikidata|liqueur_brands,Rumple Minze
Salmiakki Koskenkorva,salmiakki-koskenkorva,salmiakki-koskenkorva,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Sève Fournier,seve-fournier,seve-fournier,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Sorel or Sorrel,sorel-or-sorrel,sorel-or-sorrel,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Swedish Punsch,swedish-punsch,swedish-punsch,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Tuaca,tuaca,tuaca,liqueur|italy|other|liqueurs,liqueur,Italy,,Other liqueurs,alkohole_wikidata|liqueur_brands|twe_brands,
Vana Tallinn,vana-tallinn,vana-tallinn,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Vov,vov,vov,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Voyant Chai Cream,voyant-chai,voyant-chai,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
Y Chilli,y-chilli,y-chilli,liqueur|other|liqueurs,liqueur,,,Other liqueurs,liqueur_brands,
2 Towns Ciderhouse,2-towns-ciderhouse,2-towns-ciderhouse,cider|usa|corvallis|oregon,cider,USA,,"Corvallis, Oregon",alkohole_wikidata|cider_brands,
5 Seeds Cider,5-seeds,5-seeds,cider|australia|lidcombe,cider,Australia,,Lidcombe,cider_brands,
Ace Cider,ace,ace|ace-cider,cider|usa|sebastopol|california,cider,USA,,"Sebastopol, California",alkohole_wikidata|cider_brands,
Angry Orchard,angry-orchard,angry-orchard,cider|usa|walden|new|york,cider,USA,,"Walden, New York",alkohole_wikidata|cider_brands,
Arsenal Cider House,arsenal,arsenal|arsenal-cider-house,cider|usa|pittsburgh|pennsylvania,cider,USA,,"Pittsburgh, Pennsylvania",alkohole_wikidata|cider_brands,
Aspall Cyder,aspall,aspall,cider|united-kingdom|debenham,cider,United Kingdom,,Debenham,cider_brands,
Bantam Cider,bantam,bantam|bantam-cider,cider|usa|somerville|massachusetts,cider,USA,,"Somerville, Massachusetts",alkohole_wikidata|cider_brands,
Black Star,black-star,black-star,cider|united-kingdom|bedford,cider,United Kingdom,,Bedford,alkohole_wikidata|cider_brands,
Blackthorn Cider,blackthorn,blackthorn,cider|united-kingdom|shepton|mallet,cider,United Kingdom,,Shepton Mallet,cider_brands,
Bold Rock Hard Cider,bold-rock,bold-rock|bold-rock-hard-cider,cider|usa|nellysford|virginia,cider,USA,,"Nellysford, Virginia",alkohole_wikidata|cider_brands,
Brothers Cider,brothers,brothers|brothers-cider|brother-cider,cider|united-kingdom|shepton|mallet|somerset,cider,United Kingdom,,"Shepton Mallet, Somerset",alkohole_wikidata|cider_brands,
H. P. Bulmer,h-p-bulmer,h-p-bulmer|bulmers|hp-bulmer|hp-bulmers,cider|united-kingdom|hereford|herefordshire|hard,cider,United Kingdom,,"Hereford, Herefordshire|hard cider",alkohole_wikidata|cider_brands,
Lost Boy Cider,lost-boy,lost-boy,cider|usa|alexandria|virginia|hard,cider,USA,,Alexandria Virginia|hard cider,cider_brands,
Bulmers,bulmers,bulmers,cider|ireland|clonmel|south|tipperary|hard,cider,Ireland,,"Clonmel, South Tipperary|hard cider",alkohole_wikidata|cider_brands,
Burrow Hill Cider,burrow-hill,burrow-hill,cider|united-kingdom|martock|somerset|hard,cider,United Kingdom,,"Martock, Somerset|hard cider",cider_brands,
Carling Cider,carling,carling,cider|canada|london|ontario,cider,Canada,,"London, Ontario",cider_brands,
Ciderboys,ciderboys,ciderboys,cider|usa|stevens|point|wisconsin,cider,USA,,"Stevens Point, Wisconsin",cider_brands,
Cidergeist,cidergeist,cidergeist,cider|usa|cincinnati|ohio,cider,USA,,"Cincinnati, Ohio",cider_brands,
Crispin Cider,crispin,crispin,cider|usa|colfax|california,cider,USA,,"Colfax, California",cider_brands,
Cydr Lubelski,cydr-lubelski,cydr-lubelski,cider|poland|lublin,cider,Poland,,Lublin,cider_brands,
Downeast Cider House,downeast,downeast,cider|usa|boston|massachusetts,cider,USA,,"Boston, Massachusetts",cider_brands,
Doc’s Cider,docs,docs,cider|usa|warwick|new|york,cider,USA,,"Warwick, New York",cider_brands,
Fizz,fizz,fizz,cider|finland|iisalmi,cider,Finland,,Iisalmi,cider_brands,
Fox Barrel Cider,fox-barrel,fox-barrel|fox-barrel-cider,cider|usa|colfax|california,cider,USA,,"Colfax, California",alkohole_wikidata|cider_brands,
Frosty Jack Cider,frosty-jack,frosty-jack,cider|united-kingdom|aston|birmingham,cider,United Kingdom,,"Aston, Birmingham",cider_brands,
Gaymer Cider Company,gaymer,gaymer|gaymer-cider-company|gaymer-cider|gaymers-cider,cider|united-kingdom,cider,United Kingdom,,,alkohole_wikidata|cider_brands,
Harpoon Brewery,harpoon-brewery,harpoon-brewery,cider|usa|windsor|vermont|boston|massachusetts,cider,USA,,"Windsor, Vermont and Boston, Massachusetts",cider_brands,
Herrljunga Cider,herrljunga,herrljunga,cider|sweden|soft,cider,Sweden,,Herrljunga|soft cider,cider_brands,
K Cider,k-cider,k-cider,united-kingdom|bath,cider,United Kingdom,,Bath,cider_brands,
